날짜,요일,경기장,날씨,평균기온,관중수,확진자 수
2018-05-30,수,서울 잠실 야구장,구름조금,24.7℃,12382,0
2018-05-31,목,서울 잠실 야구장,맑음,27.6℃,12412,0
2018-06-01,금,서울 잠실 야구장,맑음,30.2℃,12385,0
2018-06-02,토,서울 잠실 야구장,맑음,30.1℃,20227,0
2018-06-03,일,서울 잠실 야구장,구름조금,30.8℃,15687,0
2018-06-05,화,서울 잠실 야구장,맑음,29.2℃,23934,0
2018-06-06,수,서울 잠실 야구장,맑음,27.9℃,23593,0
2018-06-07,목,서울 잠실 야구장,구름조금,29.4℃,20245,0
2018-06-08,금,서울 잠실 야구장,구름조금,27℃,11531,0
2018-06-09,토,서울 잠실 야구장,비,30.1℃,20314,0
2018-06-10,일,서울 잠실 야구장,비,24.9℃,14323,0
2018-06-12,화,서울 잠실 야구장,구름조금,27.1℃,10412,0
2018-06-13,수,서울 잠실 야구장,구름많음,27℃,13845,0
2018-06-14,목,서울 잠실 야구장,비,25.1℃,7513,0
2018-06-15,금,서울 잠실 야구장,비,27℃,23375,0
2018-06-16,토,서울 잠실 야구장,맑음,28.7℃,25000,0
2018-06-17,일,서울 잠실 야구장,흐림,27.5℃,23586,0
2018-06-19,화,서울 잠실 야구장,흐림,27.2℃,7323,0
2018-06-20,수,서울 잠실 야구장,구름조금,28.4℃,9056,0
2018-06-21,목,서울 잠실 야구장,구름조금,28.7℃,10145,0
2018-06-22,금,서울 잠실 야구장,구름조금,32℃,21084,0
2018-06-23,토,서울 잠실 야구장,흐림,28.9℃,24212,0
2018-06-24,일,서울 잠실 야구장,구름조금,32.1℃,20904,0
2018-06-27,수,서울 잠실 야구장,비,25.5℃,9004,0
2018-06-29,금,서울 잠실 야구장,비,29.1℃,23114,0
2018-06-30,토,서울 잠실 야구장,비,27.9℃,24110,0
2018-07-03,화,서울 잠실 야구장,비,32.6℃,7034,0
2018-07-04,수,서울 잠실 야구장,구름많음,31.8℃,7343,0
2018-07-05,목,서울 잠실 야구장,비,29℃,8125,0
2018-07-06,금,서울 잠실 야구장,흐림,27.1℃,17262,0
2018-07-07,토,서울 잠실 야구장,구름조금,29.2℃,21138,0
2018-07-08,일,서울 잠실 야구장,구름많음,28.1℃,17144,0
2018-07-10,화,서울 잠실 야구장,비,26.5℃,8445,0
