관중통계(전체현황),,,,,,,,,,,,
"선택항목 : 단체 : K LEAGUE,KBO  리그 : K LEAGUE 1  시즌 : 2017,2018,2019,2020,2021  시즌구분  : RL  팀 : FC 서울,전북 현대,대구 FC,울산 현대,수원 삼성,두산,LG,롯데, SSG,NC  구단구분 : HOME     요일 : 전체   undefined :  undefined :",,,,,,,,,,,,
단체,리그,시즌,연도,월,일,요일,홈팀,원정팀,경기장,날씨,평균기온,관중수
KBO,정규리그,2021 시즌,2021,05,19,수,LG,NC,서울 잠실 야구장,구름조금,26.6℃,2472
KBO,정규리그,2021 시즌,2021,05,18,화,LG,NC,서울 잠실 야구장,구름조금,24.5℃,2428
KBO,정규리그,2021 시즌,2021,05,17,월, SSG,두산,인천SSG 랜더스필드,비,17.6℃,1664
KBO,정규리그,2021 시즌,2021,05,17,월,LG,삼성,서울 잠실 야구장,비,16.7℃,1975
KLEAGUE,K LEAGUE 1,2021 시즌,2021,05,16,일,울산 현대,수원 삼성,울산문수축구경기장,비,23.7℃,2728
KBO,정규리그,2021 시즌,2021,05,15,토,LG,삼성,서울 잠실 야구장,비,26.2℃,2455
KBO,정규리그,2021 시즌,2021,05,15,토,NC,KIA,창원NC파크,비,22℃,0
KBO,정규리그,2021 시즌,2021,05,15,토,롯데,KT,부산 사직 야구장,비,20.3℃,1365
KBO,정규리그,2021 시즌,2021,05,14,금,NC,KIA,창원NC파크,구름많음,29.9℃,2329
KBO,정규리그,2021 시즌,2021,05,14,금,LG,삼성,서울 잠실 야구장,구름많음,30.8℃,2472
KBO,정규리그,2021 시즌,2021,05,14,금,롯데,KT,부산 사직 야구장,구름많음,23.4℃,1816
KBO,정규리그,2021 시즌,2021,05,14,금, SSG,두산,인천SSG 랜더스필드,구름많음,28℃,2300
KBO,정규리그,2021 시즌,2021,05,13,목,두산,키움히어로즈,서울 잠실 야구장,맑음,29.6℃,1896
KBO,정규리그,2021 시즌,2021,05,13,목,롯데, SSG,부산 사직 야구장,구름조금,25℃,1823
KLEAGUE,K LEAGUE 1,2021 시즌,2021,05,12,수,수원 삼성,제주 Utd,수원월드컵경기장,구름조금,27.2℃,1680
KBO,정규리그,2021 시즌,2021,05,12,수,두산,키움히어로즈,서울 잠실 야구장,구름조금,27.7℃,1628
KBO,정규리그,2021 시즌,2021,05,12,수,롯데, SSG,부산 사직 야구장,흐림,24.8℃,1529
KBO,정규리그,2021 시즌,2021,05,11,화,롯데, SSG,부산 사직 야구장,흐림,18.8℃,1915
KBO,정규리그,2021 시즌,2021,05,11,화,두산,키움히어로즈,서울 잠실 야구장,구름많음,25.7℃,1606
KLEAGUE,K LEAGUE 1,2021 시즌,2021,05,09,일,전북 현대,수원 삼성,전주월드컵경기장,맑음,22.5℃,5478
KBO,정규리그,2021 시즌,2021,05,09,일,LG,한화,서울 잠실 야구장,맑음,21.8℃,2472
KBO,정규리그,2021 시즌,2021,05,09,일, SSG,키움히어로즈,인천SSG 랜더스필드,맑음,20.3℃,0
KBO,정규리그,2021 시즌,2021,05,09,일, SSG,키움히어로즈,인천SSG 랜더스필드,맑음,20.3℃,2156
KBO,정규리그,2021 시즌,2021,05,09,일,LG,한화,서울 잠실 야구장,맑음,21.8℃,0
KLEAGUE,K LEAGUE 1,2021 시즌,2021,05,08,토,대구 FC,인천 Utd,DGB대구은행파크,맑음,26.1℃,2958
KBO,정규리그,2021 시즌,2021,05,08,토,LG,한화,서울 잠실 야구장,맑음,21℃,2441
KBO,정규리그,2021 시즌,2021,05,08,토, SSG,키움히어로즈,인천SSG 랜더스필드,맑음,18.1℃,2300
KBO,정규리그,2021 시즌,2021,05,06,목,NC, SSG,창원NC파크,구름많음,23.5℃,1980
KBO,정규리그,2021 시즌,2021,05,06,목,두산,LG,서울 잠실 야구장,구름조금,23.1℃,2427
KBO,정규리그,2021 시즌,2021,05,06,목,롯데,KIA,부산 사직 야구장,구름많음,21.7℃,2068
KBO,정규리그,2021 시즌,2021,05,05,수,NC, SSG,창원NC파크,비,23.4℃,4768
KBO,정규리그,2021 시즌,2021,05,05,수,롯데,KIA,부산 사직 야구장,비,23.2℃,2364
KBO,정규리그,2021 시즌,2021,05,05,수,두산,LG,서울 잠실 야구장,비,18.4℃,2427
KLEAGUE,K LEAGUE 1,2021 시즌,2021,05,02,일,전북 현대,제주 Utd,전주월드컵경기장,비,17.9℃,4295
KBO,정규리그,2021 시즌,2021,05,02,일,롯데,한화,부산 사직 야구장,비,16.9℃,2364
KBO,정규리그,2021 시즌,2021,05,02,일,NC,키움히어로즈,창원NC파크,구름조금,19.2℃,2066
KBO,정규리그,2021 시즌,2021,05,02,일,두산, SSG,서울 잠실 야구장,비,18.7℃,2427
KLEAGUE,K LEAGUE 1,2021 시즌,2021,05,01,토,울산 현대,광주 FC,울산문수축구경기장,비,15.2℃,2650
KLEAGUE,K LEAGUE 1,2021 시즌,2021,05,01,토,수원 삼성,포항 스틸러스,수원월드컵경기장,비,14.2℃,3045
KBO,정규리그,2021 시즌,2021,05,01,토,NC,키움히어로즈,창원NC파크,비,15.2℃,2694
KBO,정규리그,2021 시즌,2021,05,01,토,두산, SSG,서울 잠실 야구장,비,15.3℃,2427
KBO,정규리그,2021 시즌,2021,05,01,토,롯데,한화,부산 사직 야구장,비,16.6℃,2351
KLEAGUE,K LEAGUE 1,2021 시즌,2021,04,30,금,FC 서울,성남 FC,서울월드컵경기장,비,14.6℃,1972
KBO,정규리그,2021 시즌,2021,04,30,금,NC,키움히어로즈,창원NC파크,,,1909
KBO,정규리그,2021 시즌,2021,04,30,금,롯데,한화,부산 사직 야구장,비,21.7℃,2271
KBO,정규리그,2021 시즌,2021,04,30,금,두산, SSG,서울 잠실 야구장,비,14.6℃,2410
KBO,정규리그,2021 시즌,2021,04,29,목, SSG,KT,인천SSG 랜더스필드,비,19.1℃,2132
KBO,정규리그,2021 시즌,2021,04,29,목,LG,롯데,서울 잠실 야구장,비,20.1℃,2472
KBO,정규리그,2021 시즌,2021,04,28,수,LG,롯데,서울 잠실 야구장,비,18.2℃,2455
KBO,정규리그,2021 시즌,2021,04,28,수, SSG,KT,인천SSG 랜더스필드,비,14.6℃,1797
KBO,정규리그,2021 시즌,2021,04,27,화,LG,롯데,서울 잠실 야구장,비,20℃,2347
KBO,정규리그,2021 시즌,2021,04,27,화, SSG,KT,인천SSG 랜더스필드,비,17.1℃,1756
KBO,정규리그,2021 시즌,2021,04,25,일,두산,NC,서울 잠실 야구장,맑음,24℃,2410
KBO,정규리그,2021 시즌,2021,04,24,토,두산,NC,서울 잠실 야구장,구름많음,22.2℃,2410
KBO,정규리그,2021 시즌,2021,04,23,금,두산,NC,서울 잠실 야구장,흐림,21.7℃,2225
KBO,정규리그,2021 시즌,2021,04,22,목,롯데,두산,부산 사직 야구장,흐림,26.5℃,1686
KBO,정규리그,2021 시즌,2021,04,22,목,NC,KT,창원NC파크,흐림,26.9℃,1393
KBO,정규리그,2021 시즌,2021,04,22,목,LG,KIA,서울 잠실 야구장,흐림,27.5℃,2472
KLEAGUE,K LEAGUE 1,2021 시즌,2021,04,21,수,대구 FC,수원 삼성,DGB대구은행파크,구름조금,29.5℃,2037
KLEAGUE,K LEAGUE 1,2021 시즌,2021,04,21,수,울산 현대,전북 현대,울산문수축구경기장,구름조금,25.7℃,3232
